targets=27 model=gpt-5.6-luna workers=6
  wat-pathum: OK 63s
  wat-kongkha: OK 65s
  wat-boromthat: OK 66s
  wat-nikorn: OK 80s
  wat-sena: OK 89s
  wat-khuha: OK 100s
  museum: OK 57s
  pun-thao: OK 56s
  guan-yu: OK 69s
  kue-chai: OK 70s
  rong-jae: OK 69s
  phra-narai: OK 85s
  riverwalk: OK 64s
  thung-phra: OK 66s
  culture-street: OK 89s
  governor-wall: OK 73s
  iron-bridge: OK 93s
  new-year-alms: OK 80s
  khun-in: OK 94s
  tao-ming: OK 101s
  narai-ceremony: OK 85s
  ruler-ceremony: OK 99s
  vegetarian: OK 115s
  food-center: OK 60s
  relic-procession: OK 87s
  chak-phra: OK 111s
  loy-krathong: OK 136s
done
