targets=27 model=gpt-5.6-luna workers=6
  wat-khuha: OK 99s
  wat-kongkha: OK 103s
  wat-pathum: OK 109s
  wat-boromthat: OK 117s
  wat-nikorn: OK 147s
  wat-sena: OK 148s
  guan-yu: OK 94s
  pun-thao: OK 102s
  kue-chai: OK 95s
  museum: OK 116s
  rong-jae: OK 89s
  phra-narai: OK 122s
  thung-phra: OK 100s
  iron-bridge: OK 116s
  riverwalk: OK 121s
  culture-street: OK 133s
  governor-wall: OK 119s
  khun-in: OK 128s
  tao-ming: OK 129s
  new-year-alms: OK 101s
  narai-ceremony: OK 111s
  vegetarian: OK 101s
  ruler-ceremony: OK 113s
  loy-krathong: OK 82s
  chak-phra: OK 98s
  food-center: OK 98s
  relic-procession: OK 134s
done
